Date,Hour,Station,Latitude,Longitude,Weather,Day_of_Week,Bike_Count
2024-01-01 00:00:00,0,Tower of London,51.5081,-0.0759,Ensoleillé,0,9
2024-01-01 00:00:00,0,Big Ben,51.5007,-0.1246,Orageux,0,1
2024-01-01 00:00:00,0,London Eye,51.5033,-0.1195,Ensoleillé,0,7
2024-01-01 00:00:00,0,Buckingham Palace,51.5014,-0.1419,Ensoleillé,0,2
2024-01-01 00:00:00,0,British Museum,51.5194,-0.127,Ensoleillé,0,11
2024-01-01 00:00:00,0,St. Paul's Cathedral,51.5138,-0.0984,Pluie,0,4
2024-01-01 00:00:00,0,Hyde Park,51.5074,-0.1657,Pluie,0,5
2024-01-01 00:00:00,0,Covent Garden,51.5129,-0.1246,Nuageux,0,7
2024-01-01 00:00:00,0,Trafalgar Square,51.508,-0.1281,Pluie,0,8
2024-01-01 00:00:00,0,Greenwich Park,51.4769,-0.0005,Orageux,0,10
2024-01-01 00:00:00,0,Camden Market,51.5413,-0.1465,Nuageux,0,8
2024-01-01 00:00:00,0,Notting Hill,51.513,-0.2055,Nuageux,0,3
2024-01-01 00:00:00,0,Regent's Park,51.5313,-0.1569,Pluie,0,6
2024-01-01 00:00:00,0,Kensington Palace,51.5058,-0.1877,Ensoleillé,0,2
2024-01-01 00:00:00,0,The Shard,51.5045,-0.0865,Ensoleillé,0,7
2024-01-01 00:00:00,0,Westminster Abbey,51.4993,-0.1273,Ensoleillé,0,9
2024-01-01 00:00:00,0,Shakespeare's Globe,51.5081,-0.0973,Ensoleillé,0,13
2024-01-01 00:00:00,0,Soho,51.5136,-0.1365,Ensoleillé,0,5
2024-01-01 00:00:00,0,Piccadilly Circus,51.5101,-0.134,Ensoleillé,0,16
2024-01-01 00:00:00,0,Oxford Street,51.5145,-0.1443,Ensoleillé,0,12
2024-01-01 01:00:00,1,Tower of London,51.5081,-0.0759,Ensoleillé,0,6
2024-01-01 01:00:00,1,Big Ben,51.5007,-0.1246,Ensoleillé,0,9
2024-01-01 01:00:00,1,London Eye,51.5033,-0.1195,Nuageux,0,15
2024-01-01 01:00:00,1,Buckingham Palace,51.5014,-0.1419,Nuageux,0,3
2024-01-01 01:00:00,1,British Museum,51.5194,-0.127,Nuageux,0,4
2024-01-01 01:00:00,1,St. Paul's Cathedral,51.5138,-0.0984,Ensoleillé,0,4
2024-01-01 01:00:00,1,Hyde Park,51.5074,-0.1657,Ensoleillé,0,16
2024-01-01 01:00:00,1,Covent Garden,51.5129,-0.1246,Pluie,0,2
2024-01-01 01:00:00,1,Trafalgar Square,51.508,-0.1281,Nuageux,0,5
2024-01-01 01:00:00,1,Greenwich Park,51.4769,-0.0005,Ensoleillé,0,13
2024-01-01 01:00:00,1,Camden Market,51.5413,-0.1465,Nuageux,0,10
2024-01-01 01:00:00,1,Notting Hill,51.513,-0.2055,Nuageux,0,7
2024-01-01 01:00:00,1,Regent's Park,51.5313,-0.1569,Ensoleillé,0,4
2024-01-01 01:00:00,1,Kensington Palace,51.5058,-0.1877,Nuageux,0,10
2024-01-01 01:00:00,1,The Shard,51.5045,-0.0865,Ensoleillé,0,2
2024-01-01 01:00:00,1,Westminster Abbey,51.4993,-0.1273,Ensoleillé,0,1
2024-01-01 01:00:00,1,Shakespeare's Globe,51.5081,-0.0973,Nuageux,0,1
2024-01-01 01:00:00,1,Soho,51.5136,-0.1365,Ensoleillé,0,10
2024-01-01 01:00:00,1,Piccadilly Circus,51.5101,-0.134,Ensoleillé,0,15
2024-01-01 01:00:00,1,Oxford Street,51.5145,-0.1443,Ensoleillé,0,14
2024-01-01 02:00:00,2,Tower of London,51.5081,-0.0759,Nuageux,0,0
2024-01-01 02:00:00,2,Big Ben,51.5007,-0.1246,Ensoleillé,0,11
2024-01-01 02:00:00,2,London Eye,51.5033,-0.1195,Nuageux,0,2
2024-01-01 02:00:00,2,Buckingham Palace,51.5014,-0.1419,Nuageux,0,8
2024-01-01 02:00:00,2,British Museum,51.5194,-0.127,Ensoleillé,0,8
2024-01-01 02:00:00,2,St. Paul's Cathedral,51.5138,-0.0984,Nuageux,0,4
2024-01-01 02:00:00,2,Hyde Park,51.5074,-0.1657,Ensoleillé,0,6
2024-01-01 02:00:00,2,Covent Garden,51.5129,-0.1246,Nuageux,0,6
2024-01-01 02:00:00,2,Trafalgar Square,51.508,-0.1281,Ensoleillé,0,7
